frame,x,y,w,h,eye_point1,eye_point2
1690,956,144,222,266,"(1028, 214)","(1154, 262)"
1695,1020,316,110,132,"(1038, 381)","(1098, 354)"
1700,973,212,132,150,"(994, 286)","(1071, 258)"
1705,783,131,165,195,"(823, 192)","(930, 215)"
1710,58,584,220,235,"(96, 718)","(210, 652)"
1715,817,315,300,386,"(913, 443)","(1085, 495)"
1720,747,359,299,383,"(847, 491)","(1020, 540)"
1725,797,267,296,401,"(895, 406)","(1070, 449)"
1730,814,351,299,408,"(904, 501)","(1079, 537)"
1735,770,275,156,209,"(801, 358)","(903, 360)"
1740,764,302,163,199,"(800, 376)","(902, 386)"
1745,777,273,166,212,"(818, 356)","(921, 366)"
1750,781,246,170,215,"(820, 332)","(928, 337)"
1755,1380,83,174,237,"(1410, 185)","(1523, 177)"
1760,783,245,181,221,"(820, 328)","(937, 337)"
1765,796,211,190,234,"(835, 302)","(958, 314)"
1770,835,195,193,241,"(873, 286)","(994, 295)"
1775,867,175,199,249,"(905, 273)","(1032, 279)"
1780,1744,3,201,272,"(1776, 131)","(1905, 124)"
1785,823,156,208,247,"(861, 257)","(990, 260)"
1790,832,207,209,259,"(870, 314)","(1001, 312)"
1795,758,221,295,364,"(792, 406)","(931, 329)"
